Abu_Imran_al-Fasi	Waggag_ibn_Zallu_al-Lamti
Abu_Ishaq_Shami	Abu_Aḥmad_Abdal_Chishti
Abu_Ishaq_al-Isfarayini	Abu_Mansur_al-Baghdadi
Abu_Ishaq_al-Isfarayini	Al-Mawardi
Abu_Ishaq_al-Shirazi	Taj_al-Din_al-Subki
Abu_Ishaq_al-Shirazi	Ibrahim_al-Bajuri
Abu_Ishaq_al-Shirazi	Al-Nawawi
Abu_Ishaq_al-Shirazi	Al-Mawardi
Abu_Ishaq_al-Shirazi	Abu_Sa'd_al-Sam'ani
Abu_Ishaq_al-Shirazi	Ali_Gomaa
Abu_Kamil	Al-Karaji
Abu_Kamil	Fibonacci
Abu_Ma'shar_al-Balkhi	Al-Sijzi
Abu_Ma'shar_al-Balkhi	Albertus_Magnus
Abu_Ma'shar_al-Balkhi	Giovanni_Pico_della_Mirandola
Abu_Ma'shar_al-Balkhi	Pierre_d'Ailly
Abu_Ma'shar_al-Balkhi	Roger_Bacon
Abu_Madyan	Ibn_Arabi
Abu_Madyan	Abd_al-Salam_ibn_Mashish_al-Alami
Abu_Madyan	Abu_Abdallah_ibn_Harzihim
Abu_Madyan	Abu_Mohamed_Salih
Abu_Madyan	Abu_Said_al-Baji
Abu_Muhammad_al-Maqdisi	Turki_al-Binali
Abu_Muhammad_al-Maqdisi	Al-Qaeda
Abu_Muhammad_al-Maqdisi	Abu_Musab_al-Zarqawi
Abu_Muḥammad_Chishti	Abu_Yusuf_ibn_Saman
Abu_Nasr_Mansur	Al-Biruni
Abu_Nu'aym_al-Isfahani	Al-Khatib_al-Baghdadi
Abu_Said_al-Baji	Aisha_Al-Manoubya
Abu_Said_al-Baji	Al-Shadhili
Abu_Turab_al-Zahiri	Abu_Abd_al-Rahman_Ibn_Aqil_al-Zahiri
Abu_Yusuf	Hanafi
Abu_Yusuf_ibn_Saman	Maudood_Chishti
Abu_Zayd_al-Balkhi	Ibn_Hawqal
Abu_Zayd_al-Balkhi	Avicenna
Abu_Zayd_al-Balkhi	Istakhri
Abu_Zayd_al-Balkhi	Abu_Bakr_al-Razi
